# Start at 2020-03-12 18:08:26.630562
# EA  EB  tA  tB
# 
176.434 1.251 115.558 11.075
55.120 0.000 107.423 0.000
20.690 2.633 63.668 246.000
144.570 1.789 113.244 28.547
53.232 2.228 106.420 16.394
145.332 1.242 113.128 26.056
122.484 0.000 113.224 0.000
330.347 0.000 116.658 0.000
141.277 0.000 114.881 0.000
125.217 4.110 113.819 501.566
137.202 0.000 114.510 0.000
157.990 0.252 114.944 185.000
53.510 0.750 112.437 42.000
135.366 0.960 114.999 13.083
48.448 0.252 104.604 305.000
150.867 0.500 114.205 26.025
118.594 2.666 112.729 15.318
137.171 0.000 113.999 0.000
118.701 0.000 113.067 0.000
326.665 0.000 116.750 0.000
133.197 0.000 114.260 0.000
390.776 0.495 117.139 23.025
40.767 0.000 92.809 0.000
111.287 0.000 111.985 0.000
136.127 0.000 113.909 0.000
130.694 0.252 114.432 318.000
29.713 0.000 70.997 9.586
35.028 1.006 89.896 18.070
37.783 2.191 93.994 9.218
335.590 0.000 117.620 9.586
47.136 2.404 102.103 218.000
79.965 210.556 111.849 112.000
333.030 0.000 116.423 9.586
32.792 0.252 83.996 129.000
35.706 0.000 101.504 9.586
304.035 3.754 116.547 444.654
81.937 1.468 111.674 15.049
30.414 207.136 79.377 82.311
74.383 0.944 109.622 35.000
28.245 1.204 63.966 25.083
92.929 1.498 111.999 34.000
53.941 1.265 104.826 17.354
136.171 1.734 114.013 22.111
51.545 0.993 105.767 78.000
93.847 1110.665 111.999 154.756
256.653 0.000 116.725 9.586
138.412 0.000 114.823 9.586
193.640 1.231 116.611 22.143
18.563 2.462 106.830 9.113
31.474 0.252 60.057 76.000
42.944 0.000 97.319 9.586
133.792 0.000 115.125 0.000
129.951 0.257 114.472 378.000
81.179 0.000 110.469 0.000
136.268 0.000 114.138 0.000
89.572 0.000 112.999 0.000
174.662 0.750 115.340 16.051
